2008-09,21,PHI,NBA,C,79,1263,17.9,.543,.016,.263,11.6,16.3,13.9,4.2,1.1,3.6,7.6,21.9,,2.4,1.5,3.8,.146,,-0.7,-1.0,-1.7,0.1
2009-10,22,PHI,NBA,C,62,1016,17.6,.524,.011,.327,9.7,19.7,14.6,6.2,1.5,2.6,9.1,25.1,,1.2,0.9,2.1,.101,,-1.9,-2.0,-3.9,-0.5
2010-11,23,PHI,NBA,C,64,734,15.3,.532,.014,.251,10.1,22.9,16.5,7.0,0.6,2.0,11.0,22.8,,0.7,1.0,1.7,.110,,-2.7,-1.3,-3.9,-0.4
2011-12,24,MEM,NBA,PF,60,1345,14.1,.491,.006,.223,11.3,21.4,16.2,6.0,0.8,1.8,12.1,20.5,,0.9,1.7,2.7,.096,,-2.4,-0.5,-2.9,-0.3
2012-13,25,TOT,NBA,C,79,1300,17.3,.498,.017,.300,12.7,22.3,17.4,6.5,1.0,3.3,10.8,25.8,,1.1,1.7,2.8,.104,,-2.4,-1.1,-3.5,-0.5
2012-13,25,MEM,NBA,C,40,579,16.1,.474,.020,.271,15.2,23.5,19.3,5.5,0.9,3.8,11.2,24.8,,0.3,1.1,1.4,.116,,-3.1,-0.1,-3.2,-0.2
2012-13,25,CLE,NBA,C,39,721,18.2,.515,.015,.320,10.7,21.4,15.8,7.4,1.0,2.9,10.5,26.6,,0.9,0.6,1.4,.094,,-1.9,-2.0,-3.8,-0.3
2013-14,26,GSW,NBA,C,79,982,15.2,.507,.070,.303,11.4,20.6,16.1,5.3,0.5,2.6,11.6,25.4,,0.6,1.5,2.1,.103,,-3.9,-1.3,-5.2,-0.8
2014-15,27,GSW,NBA,C,76,1207,19.5,.546,.028,.276,10.1,18.7,14.5,9.9,0.8,2.1,10.2,29.1,,2.2,1.8,4.0,.158,,-1.3,-1.3,-2.6,-0.2
2015-16,28,GSW,NBA,C,72,832,17.1,.506,.136,.250,10.6,19.8,15.5,11.4,1.1,3.0,11.5,29.7,,0.5,1.2,1.8,.102,,-2.9,-1.1,-3.9,-0.4
Career,,,NBA,,571,8679,16.8,.518,.037,.275,11.0,20.1,15.6,6.9,0.9,2.6,10.5,24.9,,9.7,11.3,21.0,.116,,-2.2,-1.2,-3.3,-2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,GSW,NBA,,227,3021,17.4,.523,.072,.276,10.6,19.6,15.3,8.8,0.8,2.5,11.0,28.1,,3.3,4.5,7.8,.125,,-2.6,-1.2,-3.8,-1.4
3 seasons,,PHI,NBA,,205,3013,17.2,.533,.014,.283,10.6,19.0,14.8,5.6,1.1,2.9,9.0,23.2,,4.3,3.4,7.6,.122,,-1.6,-1.4,-3.0,-0.7
2 seasons,,MEM,NBA,,100,1924,14.7,.485,.011,.239,12.5,22.0,17.2,5.8,0.9,2.4,11.8,21.8,,1.2,2.9,4.1,.102,,-2.6,-0.4,-3.0,-0.5
1 season,,CLE,NBA,,39,721,18.2,.515,.015,.320,10.7,21.4,15.8,7.4,1.0,2.9,10.5,26.6,,0.9,0.6,1.4,.094,,-1.9,-2.0,-3.8,-0.3
